Id; Char; Name; Category; Normalized id; Normalized char; Normalized name; Normalized category; 
U+0020;  ; "SPACE"; Zs; ; ; ; ; 
U+0021; !; "EXCLAMATION MARK"; Po; ; ; ; ; 
U+0022; "; "QUOTATION MARK"; Po; ; ; ; ; 
U+0024; $; "DOLLAR SIGN"; Sc; ; ; ; ; 
U+0025; %; "PERCENT SIGN"; Po; ; ; ; ; 
U+0026; &; "AMPERSAND"; Po; ; ; ; ; 
U+0027; '; "APOSTROPHE"; Po; ; ; ; ; 
U+0028; (; "LEFT PARENTHESIS"; Ps; ; ; ; ; 
U+0029; ); "RIGHT PARENTHESIS"; Pe; ; ; ; ; 
U+002C; ,; "COMMA"; Po; ; ; ; ; 
U+002D; -; "HYPHEN-MINUS"; Pd; ; ; ; ; 
U+002E; .; "FULL STOP"; Po; ; ; ; ; 
U+002F; /; "SOLIDUS"; Po; ; ; ; ; 
U+0030; 0; "DIGIT ZERO"; Nd; U+0030; 0; "DIGIT ZERO"; Nd; 
U+0031; 1; "DIGIT ONE"; Nd; U+0031; 1; "DIGIT ONE"; Nd; 
U+0032; 2; "DIGIT TWO"; Nd; U+0032; 2; "DIGIT TWO"; Nd; 
U+0033; 3; "DIGIT THREE"; Nd; U+0033; 3; "DIGIT THREE"; Nd; 
U+0034; 4; "DIGIT FOUR"; Nd; U+0034; 4; "DIGIT FOUR"; Nd; 
U+0035; 5; "DIGIT FIVE"; Nd; U+0035; 5; "DIGIT FIVE"; Nd; 
U+0036; 6; "DIGIT SIX"; Nd; U+0036; 6; "DIGIT SIX"; Nd; 
U+0037; 7; "DIGIT SEVEN"; Nd; U+0037; 7; "DIGIT SEVEN"; Nd; 
U+0038; 8; "DIGIT EIGHT"; Nd; U+0038; 8; "DIGIT EIGHT"; Nd; 
U+0039; 9; "DIGIT NINE"; Nd; U+0039; 9; "DIGIT NINE"; Nd; 
U+003D; =; "EQUALS SIGN"; Sm; ; ; ; ; 
U+003F; ?; "QUESTION MARK"; Po; ; ; ; ; 
U+0041; A; "LATIN CAPITAL LETTER A"; Lu; U+0061; a; "LATIN SMALL LETTER A"; Ll; 
U+0042; B; "LATIN CAPITAL LETTER B"; Lu; U+0062; b; "LATIN SMALL LETTER B"; Ll; 
U+0043; C; "LATIN CAPITAL LETTER C"; Lu; U+0063; c; "LATIN SMALL LETTER C"; Ll; 
U+0044; D; "LATIN CAPITAL LETTER D"; Lu; U+0064; d; "LATIN SMALL LETTER D"; Ll; 
U+0045; E; "LATIN CAPITAL LETTER E"; Lu; U+0065; e; "LATIN SMALL LETTER E"; Ll; 
U+0046; F; "LATIN CAPITAL LETTER F"; Lu; U+0066; f; "LATIN SMALL LETTER F"; Ll; 
U+0047; G; "LATIN CAPITAL LETTER G"; Lu; U+0067; g; "LATIN SMALL LETTER G"; Ll; 
U+0048; H; "LATIN CAPITAL LETTER H"; Lu; U+0068; h; "LATIN SMALL LETTER H"; Ll; 
U+0049; I; "LATIN CAPITAL LETTER I"; Lu; U+0069; i; "LATIN SMALL LETTER I"; Ll; 
U+004A; J; "LATIN CAPITAL LETTER J"; Lu; U+006A; j; "LATIN SMALL LETTER J"; Ll; 
U+004B; K; "LATIN CAPITAL LETTER K"; Lu; U+006B; k; "LATIN SMALL LETTER K"; Ll; 
U+004C; L; "LATIN CAPITAL LETTER L"; Lu; U+006C; l; "LATIN SMALL LETTER L"; Ll; 
U+004D; M; "LATIN CAPITAL LETTER M"; Lu; U+006D; m; "LATIN SMALL LETTER M"; Ll; 
U+004E; N; "LATIN CAPITAL LETTER N"; Lu; U+006E; n; "LATIN SMALL LETTER N"; Ll; 
U+004F; O; "LATIN CAPITAL LETTER O"; Lu; U+006F; o; "LATIN SMALL LETTER O"; Ll; 
U+0050; P; "LATIN CAPITAL LETTER P"; Lu; U+0070; p; "LATIN SMALL LETTER P"; Ll; 
U+0051; Q; "LATIN CAPITAL LETTER Q"; Lu; U+0071; q; "LATIN SMALL LETTER Q"; Ll; 
U+0052; R; "LATIN CAPITAL LETTER R"; Lu; U+0072; r; "LATIN SMALL LETTER R"; Ll; 
U+0053; S; "LATIN CAPITAL LETTER S"; Lu; U+0073; s; "LATIN SMALL LETTER S"; Ll; 
U+0054; T; "LATIN CAPITAL LETTER T"; Lu; U+0074; t; "LATIN SMALL LETTER T"; Ll; 
U+0055; U; "LATIN CAPITAL LETTER U"; Lu; U+0075; u; "LATIN SMALL LETTER U"; Ll; 
U+0056; V; "LATIN CAPITAL LETTER V"; Lu; U+0076; v; "LATIN SMALL LETTER V"; Ll; 
