Id; Char; Category; Name; Block; Normalized id(s); Normalized char(s); Normalized category(s); 
U+0020;  ; Zs; SPACE; Basic Latin; ; ; ; 
U+0021; !; Po; EXCLAMATION MARK; Basic Latin; ; ; ; 
U+0022; "; Po; QUOTATION MARK; Basic Latin; ; ; ; 
U+0024; $; Sc; DOLLAR SIGN; Basic Latin; ; ; ; 
U+0025; %; Po; PERCENT SIGN; Basic Latin; ; ; ; 
U+0026; &; Po; AMPERSAND; Basic Latin; ; ; ; 
U+0027; '; Po; APOSTROPHE; Basic Latin; ; ; ; 
U+0028; (; Ps; LEFT PARENTHESIS; Basic Latin; ; ; ; 
U+0029; ); Pe; RIGHT PARENTHESIS; Basic Latin; ; ; ; 
U+002C; ,; Po; COMMA; Basic Latin; ; ; ; 
U+002D; -; Pd; HYPHEN-MINUS; Basic Latin; ; ; ; 
U+002E; .; Po; FULL STOP; Basic Latin; ; ; ; 
U+002F; /; Po; SOLIDUS; Basic Latin; ; ; ; 
U+0030; 0; Nd; DIGIT ZERO; Basic Latin; U+0030; 0; Nd; 
U+0031; 1; Nd; DIGIT ONE; Basic Latin; U+0031; 1; Nd; 
U+0032; 2; Nd; DIGIT TWO; Basic Latin; U+0032; 2; Nd; 
U+0033; 3; Nd; DIGIT THREE; Basic Latin; U+0033; 3; Nd; 
U+0034; 4; Nd; DIGIT FOUR; Basic Latin; U+0034; 4; Nd; 
U+0035; 5; Nd; DIGIT FIVE; Basic Latin; U+0035; 5; Nd; 
U+0036; 6; Nd; DIGIT SIX; Basic Latin; U+0036; 6; Nd; 
U+0037; 7; Nd; DIGIT SEVEN; Basic Latin; U+0037; 7; Nd; 
U+0038; 8; Nd; DIGIT EIGHT; Basic Latin; U+0038; 8; Nd; 
U+0039; 9; Nd; DIGIT NINE; Basic Latin; U+0039; 9; Nd; 
U+003D; =; Sm; EQUALS SIGN; Basic Latin; ; ; ; 
U+003F; ?; Po; QUESTION MARK; Basic Latin; ; ; ; 
U+0041; A; Lu; LATIN CAPITAL LETTER A; Basic Latin; U+0061; a; Ll; 
U+0042; B; Lu; LATIN CAPITAL LETTER B; Basic Latin; U+0062; b; Ll; 
U+0043; C; Lu; LATIN CAPITAL LETTER C; Basic Latin; U+0063; c; Ll; 
U+0044; D; Lu; LATIN CAPITAL LETTER D; Basic Latin; U+0064; d; Ll; 
U+0045; E; Lu; LATIN CAPITAL LETTER E; Basic Latin; U+0065; e; Ll; 
U+0046; F; Lu; LATIN CAPITAL LETTER F; Basic Latin; U+0066; f; Ll; 
U+0047; G; Lu; LATIN CAPITAL LETTER G; Basic Latin; U+0067; g; Ll; 
U+0048; H; Lu; LATIN CAPITAL LETTER H; Basic Latin; U+0068; h; Ll; 
